ref_stop,departure_time,dep_sec,hour,headway_min
Shinjuku,04:44:00,17040,4,1
Shinjuku,05:03:00,18180,5,19
Shinjuku,05:19:00,19140,5,16
Shinjuku,05:22:00,19320,5,3
Shinjuku,05:34:00,20040,5,12
Shinjuku,05:35:00,20100,5,1
Shinjuku,05:36:00,20160,5,1
Shinjuku,05:37:00,20220,5,1
Shinjuku,05:41:00,20460,5,4
Shinjuku,05:48:00,20880,5,7
Shinjuku,05:49:00,20940,5,1
Shinjuku,05:56:00,21360,5,7
Shinjuku,05:59:00,21540,5,3
Shinjuku,06:02:00,21720,6,3
Shinjuku,06:08:00,22080,6,6
Shinjuku,06:12:00,22320,6,4
Shinjuku,06:16:00,22560,6,4
Shinjuku,06:17:00,22620,6,1
Shinjuku,06:18:00,22680,6,1
Shinjuku,06:23:00,22980,6,5
Shinjuku,06:25:00,23100,6,2
Shinjuku,06:26:00,23160,6,1
Shinjuku,06:27:00,23220,6,1
Shinjuku,06:28:00,23280,6,1
Shinjuku,06:30:00,23400,6,2
Shinjuku,06:33:00,23580,6,3
Shinjuku,06:34:00,23640,6,1
Shinjuku,06:35:00,23700,6,1
Shinjuku,06:39:00,23940,6,4
Shinjuku,06:40:00,24000,6,1
Shinjuku,06:41:00,24060,6,1
Shinjuku,06:44:00,24240,6,3
Shinjuku,06:45:00,24300,6,1
Shinjuku,06:47:00,24420,6,2
Shinjuku,06:48:00,24480,6,1
Shinjuku,06:49:00,24540,6,1
Shinjuku,06:51:00,24660,6,2
Shinjuku,06:52:00,24720,6,1
Shinjuku,06:54:00,24840,6,2
Shinjuku,06:55:00,24900,6,1
Shinjuku,06:56:00,24960,6,1
Shinjuku,06:59:00,25140,6,3
Shinjuku,07:00:00,25200,7,1
Shinjuku,07:01:00,25260,7,1
Shinjuku,07:04:00,25440,7,3
Shinjuku,07:06:00,25560,7,2
Shinjuku,07:08:00,25680,7,2
Shinjuku,07:09:00,25740,7,1
Shinjuku,07:10:00,25800,7,1
Shinjuku,07:11:00,25860,7,1
Shinjuku,07:12:00,25920,7,1
Shinjuku,07:13:00,25980,7,1
Shinjuku,07:15:00,26100,7,2
Shinjuku,07:17:00,26220,7,2
Shinjuku,07:18:00,26280,7,1
Shinjuku,07:19:00,26340,7,1
Shinjuku,07:21:00,26460,7,2
Shinjuku,07:24:00,26640,7,3
Shinjuku,07:25:00,26700,7,1
Shinjuku,07:27:00,26820,7,2
Shinjuku,07:29:00,26940,7,2
Shinjuku,07:30:00,27000,7,1
Shinjuku,07:32:00,27120,7,2
Shinjuku,07:33:00,27180,7,1
Shinjuku,07:34:00,27240,7,1
Shinjuku,07:36:00,27360,7,2
Shinjuku,07:37:00,27420,7,1
Shinjuku,07:38:00,27480,7,1
Shinjuku,07:40:00,27600,7,2
Shinjuku,07:43:00,27780,7,3
Shinjuku,07:44:00,27840,7,1
Shinjuku,07:45:00,27900,7,1
Shinjuku,07:46:00,27960,7,1
Shinjuku,07:48:00,28080,7,2
Shinjuku,07:49:00,28140,7,1
Shinjuku,07:50:00,28200,7,1
Shinjuku,07:51:00,28260,7,1
Shinjuku,07:53:00,28380,7,2
Shinjuku,07:55:00,28500,7,2
Shinjuku,07:56:00,28560,7,1
Shinjuku,07:57:00,28620,7,1
Shinjuku,07:58:00,28680,7,1
Shinjuku,07:59:00,28740,7,1
Shinjuku,08:00:00,28800,8,1
Shinjuku,08:01:00,28860,8,1
Shinjuku,08:02:00,28920,8,1
Shinjuku,08:05:00,29100,8,3
Shinjuku,08:06:00,29160,8,1
Shinjuku,08:08:00,29280,8,2
Shinjuku,08:09:00,29340,8,1
Shinjuku,08:10:00,29400,8,1
Shinjuku,08:11:00,29460,8,1
Shinjuku,08:13:00,29580,8,2
Shinjuku,08:14:00,29640,8,1
Shinjuku,08:15:00,29700,8,1
Shinjuku,08:16:00,29760,8,1
Shinjuku,08:17:00,29820,8,1
Shinjuku,08:18:00,29880,8,1
Shinjuku,08:19:00,29940,8,1
Shinjuku,08:20:00,30000,8,1
Shinjuku,08:22:00,30120,8,2
Shinjuku,08:24:00,30240,8,2
Shinjuku,08:25:00,30300,8,1
Shinjuku,08:26:00,30360,8,1
Shinjuku,08:28:00,30480,8,2
Shinjuku,08:29:00,30540,8,1
Shinjuku,08:30:00,30600,8,1
Shinjuku,08:31:00,30660,8,1
Shinjuku,08:33:00,30780,8,2
Shinjuku,08:34:00,30840,8,1
Shinjuku,08:35:00,30900,8,1
Shinjuku,08:37:00,31020,8,2
Shinjuku,08:38:00,31080,8,1
Shinjuku,08:40:00,31200,8,2
Shinjuku,08:41:00,31260,8,1
Shinjuku,08:44:00,31440,8,3
Shinjuku,08:45:00,31500,8,1
Shinjuku,08:47:00,31620,8,2
Shinjuku,08:49:00,31740,8,2
Shinjuku,08:50:00,31800,8,1
Shinjuku,08:51:00,31860,8,1
Shinjuku,08:52:00,31920,8,1
Shinjuku,08:54:00,32040,8,2
Shinjuku,08:55:00,32100,8,1
Shinjuku,08:56:00,32160,8,1
Shinjuku,08:57:00,32220,8,1
Shinjuku,08:59:00,32340,8,2
Shinjuku,09:00:00,32400,9,1
Shinjuku,09:02:00,32520,9,2
Shinjuku,09:03:00,32580,9,1
Shinjuku,09:04:00,32640,9,1
Shinjuku,09:05:00,32700,9,1
Shinjuku,09:06:00,32760,9,1
Shinjuku,09:07:00,32820,9,1
Shinjuku,09:08:00,32880,9,1
Shinjuku,09:10:00,33000,9,2
Shinjuku,09:12:00,33120,9,2
Shinjuku,09:13:00,33180,9,1
Shinjuku,09:14:00,33240,9,1
Shinjuku,09:15:00,33300,9,1
Shinjuku,09:16:00,33360,9,1
Shinjuku,09:18:00,33480,9,2
Shinjuku,09:20:00,33600,9,2
Shinjuku,09:21:00,33660,9,1
Shinjuku,09:23:00,33780,9,2
Shinjuku,09:25:00,33900,9,2
Shinjuku,09:26:00,33960,9,1
Shinjuku,09:28:00,34080,9,2
Shinjuku,09:29:00,34140,9,1
Shinjuku,09:30:00,34200,9,1
Shinjuku,09:31:00,34260,9,1
Shinjuku,09:32:00,34320,9,1
Shinjuku,09:34:00,34440,9,2
Shinjuku,09:35:00,34500,9,1
Shinjuku,09:36:00,34560,9,1
Shinjuku,09:37:00,34620,9,1
Shinjuku,09:39:00,34740,9,2
Shinjuku,09:40:00,34800,9,1
Shinjuku,09:41:00,34860,9,1
Shinjuku,09:43:00,34980,9,2
Shinjuku,09:45:00,35100,9,2
Shinjuku,09:46:00,35160,9,1
Shinjuku,09:47:00,35220,9,1
Shinjuku,09:50:00,35400,9,3
Shinjuku,09:51:00,35460,9,1
Shinjuku,09:53:00,35580,9,2
Shinjuku,09:54:00,35640,9,1
Shinjuku,09:55:00,35700,9,1
Shinjuku,09:56:00,35760,9,1
Shinjuku,09:57:00,35820,9,1
Shinjuku,10:00:00,36000,10,3
Shinjuku,10:01:00,36060,10,1
Shinjuku,10:03:00,36180,10,2
Shinjuku,10:04:00,36240,10,1
Shinjuku,10:05:00,36300,10,1
Shinjuku,10:06:00,36360,10,1
Shinjuku,10:07:00,36420,10,1
Shinjuku,10:09:00,36540,10,2
Shinjuku,10:10:00,36600,10,1
Shinjuku,10:11:00,36660,10,1
Shinjuku,10:13:00,36780,10,2
Shinjuku,10:15:00,36900,10,2
Shinjuku,10:16:00,36960,10,1
Shinjuku,10:17:00,37020,10,1
Shinjuku,10:19:00,37140,10,2
Shinjuku,10:20:00,37200,10,1
Shinjuku,10:21:00,37260,10,1
Shinjuku,10:23:00,37380,10,2
Shinjuku,10:25:00,37500,10,2
Shinjuku,10:26:00,37560,10,1
Shinjuku,10:29:00,37740,10,3
Shinjuku,10:30:00,37800,10,1
Shinjuku,10:31:00,37860,10,1
Shinjuku,10:33:00,37980,10,2
Shinjuku,10:35:00,38100,10,2
Shinjuku,10:36:00,38160,10,1
Shinjuku,10:37:00,38220,10,1
Shinjuku,10:40:00,38400,10,3
Shinjuku,10:41:00,38460,10,1
Shinjuku,10:43:00,38580,10,2
Shinjuku,10:44:00,38640,10,1
Shinjuku,10:45:00,38700,10,1
Shinjuku,10:46:00,38760,10,1
Shinjuku,10:47:00,38820,10,1
Shinjuku,10:48:00,38880,10,1
Shinjuku,10:50:00,39000,10,2
Shinjuku,10:51:00,39060,10,1
Shinjuku,10:52:00,39120,10,1
Shinjuku,10:55:00,39300,10,3
Shinjuku,10:56:00,39360,10,1
Shinjuku,10:57:00,39420,10,1
Shinjuku,11:00:00,39600,11,3
Shinjuku,11:01:00,39660,11,1
Shinjuku,11:02:00,39720,11,1
Shinjuku,11:03:00,39780,11,1
Shinjuku,11:05:00,39900,11,2
Shinjuku,11:06:00,39960,11,1
Shinjuku,11:07:00,40020,11,1
Shinjuku,11:10:00,40200,11,3
Shinjuku,11:11:00,40260,11,1
Shinjuku,11:12:00,40320,11,1
Shinjuku,11:14:00,40440,11,2
Shinjuku,11:15:00,40500,11,1
Shinjuku,11:16:00,40560,11,1
Shinjuku,11:17:00,40620,11,1
Shinjuku,11:18:00,40680,11,1
Shinjuku,11:20:00,40800,11,2
Shinjuku,11:21:00,40860,11,1
Shinjuku,11:22:00,40920,11,1
Shinjuku,11:25:00,41100,11,3
Shinjuku,11:26:00,41160,11,1
Shinjuku,11:27:00,41220,11,1
Shinjuku,11:28:00,41280,11,1
Shinjuku,11:30:00,41400,11,2
Shinjuku,11:31:00,41460,11,1
Shinjuku,11:32:00,41520,11,1
Shinjuku,11:35:00,41700,11,3
Shinjuku,11:36:00,41760,11,1
Shinjuku,11:37:00,41820,11,1
Shinjuku,11:39:00,41940,11,2
Shinjuku,11:40:00,42000,11,1
Shinjuku,11:41:00,42060,11,1
Shinjuku,11:42:00,42120,11,1
Shinjuku,11:43:00,42180,11,1
Shinjuku,11:45:00,42300,11,2
Shinjuku,11:46:00,42360,11,1
Shinjuku,11:47:00,42420,11,1
Shinjuku,11:50:00,42600,11,3
Shinjuku,11:51:00,42660,11,1
Shinjuku,11:52:00,42720,11,1
Shinjuku,11:54:00,42840,11,2
Shinjuku,11:55:00,42900,11,1
Shinjuku,11:56:00,42960,11,1
Shinjuku,11:57:00,43020,11,1
Shinjuku,11:58:00,43080,11,1
Shinjuku,12:00:00,43200,12,2
Shinjuku,12:01:00,43260,12,1
Shinjuku,12:02:00,43320,12,1
Shinjuku,12:03:00,43380,12,1
Shinjuku,12:05:00,43500,12,2
Shinjuku,12:06:00,43560,12,1
Shinjuku,12:07:00,43620,12,1
Shinjuku,12:09:00,43740,12,2
Shinjuku,12:11:00,43860,12,2
Shinjuku,12:12:00,43920,12,1
Shinjuku,12:16:00,44160,12,4
Shinjuku,12:17:00,44220,12,1
Shinjuku,12:20:00,44400,12,3
Shinjuku,12:21:00,44460,12,1
Shinjuku,12:22:00,44520,12,1
Shinjuku,12:23:00,44580,12,1
Shinjuku,12:25:00,44700,12,2
Shinjuku,12:26:00,44760,12,1
Shinjuku,12:27:00,44820,12,1
Shinjuku,12:30:00,45000,12,3
Shinjuku,12:31:00,45060,12,1
Shinjuku,12:32:00,45120,12,1
Shinjuku,12:34:00,45240,12,2
Shinjuku,12:36:00,45360,12,2
Shinjuku,12:37:00,45420,12,1
Shinjuku,12:41:00,45660,12,4
Shinjuku,12:42:00,45720,12,1
Shinjuku,12:45:00,45900,12,3
Shinjuku,12:46:00,45960,12,1
Shinjuku,12:47:00,46020,12,1
Shinjuku,12:48:00,46080,12,1
Shinjuku,12:49:00,46140,12,1
Shinjuku,12:51:00,46260,12,2
Shinjuku,12:52:00,46320,12,1
Shinjuku,12:53:00,46380,12,1
Shinjuku,12:56:00,46560,12,3
Shinjuku,12:57:00,46620,12,1
Shinjuku,12:59:00,46740,12,2
Shinjuku,13:00:00,46800,13,1
Shinjuku,13:01:00,46860,13,1
Shinjuku,13:02:00,46920,13,1
Shinjuku,13:03:00,46980,13,1
Shinjuku,13:05:00,47100,13,2
Shinjuku,13:06:00,47160,13,1
Shinjuku,13:07:00,47220,13,1
Shinjuku,13:08:00,47280,13,1
Shinjuku,13:10:00,47400,13,2
Shinjuku,13:11:00,47460,13,1
Shinjuku,13:12:00,47520,13,1
Shinjuku,13:14:00,47640,13,2
Shinjuku,13:16:00,47760,13,2
Shinjuku,13:17:00,47820,13,1
Shinjuku,13:20:00,48000,13,3
Shinjuku,13:21:00,48060,13,1
Shinjuku,13:22:00,48120,13,1
Shinjuku,13:24:00,48240,13,2
Shinjuku,13:25:00,48300,13,1
Shinjuku,13:26:00,48360,13,1
Shinjuku,13:27:00,48420,13,1
Shinjuku,13:28:00,48480,13,1
Shinjuku,13:31:00,48660,13,3
Shinjuku,13:32:00,48720,13,1
Shinjuku,13:35:00,48900,13,3
Shinjuku,13:36:00,48960,13,1
Shinjuku,13:37:00,49020,13,1
Shinjuku,13:39:00,49140,13,2
Shinjuku,13:41:00,49260,13,2
Shinjuku,13:42:00,49320,13,1
Shinjuku,13:43:00,49380,13,1
Shinjuku,13:46:00,49560,13,3
Shinjuku,13:47:00,49620,13,1
Shinjuku,13:50:00,49800,13,3
Shinjuku,13:51:00,49860,13,1
Shinjuku,13:52:00,49920,13,1
Shinjuku,13:53:00,49980,13,1
Shinjuku,13:54:00,50040,13,1
Shinjuku,13:56:00,50160,13,2
Shinjuku,13:57:00,50220,13,1
Shinjuku,13:58:00,50280,13,1
Shinjuku,14:01:00,50460,14,3
Shinjuku,14:02:00,50520,14,1
Shinjuku,14:04:00,50640,14,2
Shinjuku,14:06:00,50760,14,2
Shinjuku,14:07:00,50820,14,1
Shinjuku,14:08:00,50880,14,1
Shinjuku,14:10:00,51000,14,2
Shinjuku,14:11:00,51060,14,1
Shinjuku,14:12:00,51120,14,1
Shinjuku,14:13:00,51180,14,1
Shinjuku,14:15:00,51300,14,2
Shinjuku,14:16:00,51360,14,1
Shinjuku,14:17:00,51420,14,1
Shinjuku,14:19:00,51540,14,2
Shinjuku,14:21:00,51660,14,2
Shinjuku,14:22:00,51720,14,1
Shinjuku,14:23:00,51780,14,1
Shinjuku,14:25:00,51900,14,2
Shinjuku,14:26:00,51960,14,1
Shinjuku,14:27:00,52020,14,1
Shinjuku,14:29:00,52140,14,2
Shinjuku,14:30:00,52200,14,1
Shinjuku,14:31:00,52260,14,1
Shinjuku,14:32:00,52320,14,1
Shinjuku,14:33:00,52380,14,1
Shinjuku,14:36:00,52560,14,3
Shinjuku,14:37:00,52620,14,1
Shinjuku,14:40:00,52800,14,3
Shinjuku,14:41:00,52860,14,1
Shinjuku,14:42:00,52920,14,1
Shinjuku,14:44:00,53040,14,2
Shinjuku,14:46:00,53160,14,2
